a	an
adequate	adequately,adequateness
adhere	adhered,adheres,adhering
adherent	adherents
adhesive	adhesiveness,adhesives
adieu	adieus,adieux
adjacent	adjacently
adjectival	adjectivally
adjective	adjectives
adjoin	adjoined,adjoining,adjoins
adjourn	adjourned,adjourning,adjourns
adjournment	adjournments
adjudge	adjudged,adjudges,adjudging
adjudicate	adjudicated,adjudicates,adjudicating
adjudication	adjudications
adjudicator	adjudicators
adjunct	adjuncts
adjuration	adjurations
adjure	adjured,adjures,adjuring
adjust	adjusted,adjusting,adjusts
adjuster	adjusters,adjustor,adjustors
adjustment	adjustments
adjutant	adjutants
adman	admen
administer	administered,administering,administers
administrate	administrated,administrates,administrating
administration	administrations
administrative	administratively
administrator	administrators
admirable	admirably
admiral	admirals
admire	admired,admires,admiring,admiringly
admirer	admirers
admissible	admissibility,admissibly
admission	admissions
admit	admits,admitted,admittedly,admitting
admix	admixed,admixes,admixing
admixture	admixtures
admonish	admonished,admonishes,admonishing
admonishment	admonishments
admonition	admonitions
adobe	adobes
adolescence	adolescences
adolescent	adolescents
adopt	adopted,adopting,adopts
adopter	adopters
adoption	adoptions
adorable	adorableness,adorably
adore	adored,adores,adoring,adoringly
adorer	adorers
adorn	adorned,adorning,adorns
adornment	adornments
adrenal	adrenals
adrenaline	adrenalin
adroit	adroitly,adroitness
adsorb	adsorbed,adsorbing,adsorbs
adsorbent	adsorbents
adsorption	adsorptions
adulate	adulated,adulates,adulating
adulator	adulators
adult	adults
adulterant	adulterants
adulterate	adulterated,adulterates,adulterating
adulterer	adulterers
adulteress	adulteresses
adultery	adulteries
adumbrate	adumbrated,adumbrates,adumbrating
advance	advanced,advances,advancing
advancement	advancements
advantage	advantaged,advantages,advantaging
advantageous	advantageously
advent	advents
adventitious	adventitiously
adventure	adventured,adventures,adventuring
adventurer	adventurers
adventuress	adventuresses
adventurist	adventurists
adventurous	adventurously,adventurousness
adverb	adverbs
adverbial	adverbially,adverbials
adversary	adversaries
adverse	adversely,adverseness,adverser,adversest
adversity	adversities
advert	adverted,adverting,adverts
advertise	advertised,advertises,advertising,advertize,advertized,advertizes,advertizing
advertisement	advertisements,advertizement,advertizements
advertiser	advertisers,advertizer,advertizers
advertorial	advertorials
advisable	advisability,advisably
advise	advised,advisedly,advises,advising
adviser	advisers,advisor,advisors
advisory	advisories
advocate	advocated,advocates,advocating
adz	adze,adzes
aegis	egis
aerate	aerated,aerates,aerating
aerator	aerators
aerial	aerially,aerials
aerialist	aerialists
aerie	aeries,eyrie,eyries,eyry
aerobatic	aerobatics
aerobic	aerobically,aerobics
aerodrome	aerodromes,airdrome,airdromes
aerodynamic	aerodynamically,aerodynamics
aerogram	aerogramme,aerogrammes,aerograms
aeronautic	aeronautics
aerosol	aerosols
aesthete	aesthetes,esthete,esthetes
aesthetic	aesthetically,aesthetics,esthetic,esthetically,esthetics
aestheticism	estheticism
affable	affability,affably
affair	affairs
affect	affected,affectedly,affecting,affectingly,affects
affectation	affectations
affection	affections
affectionate	affectionately
affiance	affianced,affiances,affiancing
affidavit	affidavits
affiliate	affiliated,affiliates,affiliating
affiliation	affiliations
affinity	affinities
affirm	affirmed,affirming,affirms
affirmation	affirmations
affirmative	affirmatively,affirmatives
affix	affixed,affixes,affixing
afflict	afflicted,afflicting,afflicts
affliction	afflictions
affluent	affluently
afford	afforded,affording,affords
affordable	affordability
afforest	afforested,afforesting,afforests
affray	affrays
affricate	affricates
affront	affronted,affronting,affronts
afghan	afghans
aficionado	aficionados
after	afters
afterbirth	afterbirths
afterburner	afterburners
aftereffect	aftereffects
afterglow	afterglows
afterimage	afterimages
afterlife	afterlives
aftermarket	aftermarkets
aftermath	aftermaths
afternoon	afternoons
aftershave	aftershaves
aftershock	aftershocks
aftertaste	aftertastes
afterthought	afterthoughts
afterward	afterwards
afterword	afterwords
agate	agates
agave	agaves
age	aged,agedness,ageing,ageless,agelessly,agelessness,ages,aging
ageism	agism
ageist	ageists
agency	agencies
agenda	agendas
agent	agents
ageratum	ageratums
agglomerate	agglomerated,agglomerates,agglomerating
agglomeration	agglomerations
agglutinate	agglutinated,agglutinates,agglutinating
agglutination	agglutinations
aggrandize	aggrandise,aggrandised,aggrandises,aggrandising,aggrandized,aggrandizes,aggrandizing
aggrandizement	aggrandisement
aggravate	aggravated,aggravates,aggravating,aggravatingly
aggravation	aggravations
aggregate	aggregated,aggregates,aggregating
aggregation	aggregations
aggressive	aggressively,aggressiveness
aggressor	aggressors
aggrieve	aggrieved,aggrieves,aggrieving
agile	agilely
agitate	agitated,agitates,agitating
agitation	agitations
agitator	agitators
agnostic	agnostics
agonize	agonise,agonised,agonises,agonising,agonisingly,agonized,agonizes,agonizing,agonizingly
agony	agonies
agoraphobic	agoraphobics
agrarian	agrarians
agree	agreed,agreeing,agrees
agreeable	agreeableness,agreeably
agreement	agreements
agribusiness	agribusinesses
agricultural	agriculturally
agriculturist	agriculturalist,agriculturalists,agriculturists
agrochemical	agrochemicals
agronomic	agronomics
agronomist	agronomists
ah	aah
aid	aided,aiding,aids
aide	aides
aigrette	aigrettes
ail	ailed,ailing,ails
aileron	ailerons
ailment	ailments
aim	aimed,aiming,aimless,aimlessly,aimlessness,aims
air	aired,airing,airless,airlessness,airs
airbag	airbags
airbase	airbases
airbed	airbeds
airbrush	airbrushed,airbrushes,airbrushing
airbus	airbuses,airbusses
air-condition	air-conditioned,air-conditioning,air-conditions
air-conditioner	air-conditioners
aircraftman	aircraftmen
aircrew	aircrews
airdrop	airdropped,airdropping,airdrops
airfare	airfares
airfield	airfields
airfoil	airfoils
airgun	airguns
airhead	airheads
airing	airings
airletter	airletters
airlift	airlifted,airlifting,airlifts
airline	airlines
airliner	airliners
airlock	airlocks
airmail	airmailed,airmailing,airmails
airman	airmen
airplane	aeroplane,aeroplanes,airplanes
airport	airports
airship	airships
airshow	airshows
airsick	airsickness
airspeed	airspeeds
airstrike	airstrikes
airstrip	airstrips
airway	airways
airwoman	airwomen
airworthy	airworthier,airworthiest,airworthiness
airy	airier,airiest,airily,airiness
aisle	aisles
aitch	aitches
alarm	alarmed,alarming,alarmingly,alarms
alarmist	alarmists
alb	albs
albacore	albacores
albatross	albatrosses
albino	albinos
album	albums
albumin	albumen
alchemist	alchemists
alcohol	alcohols
alcoholic	alcoholically,alcoholics
alcopop	alcopops
alcove	alcoves
alder	alders
alderman	aldermen
alderwoman	alderwomen
ale	ales
alehouse	alehouses
alembic	alembics
alert	alerted,alerting,alertly,alertness,alerts
alewife	alewives
algae	alga
algebraic	algebraically
algorithm	algorithms
alias	aliased,aliases,aliasing
alibi	alibied,alibiing,alibis
alien	aliens
alienate	alienated,alienates,alienating
alienist	alienists
alight	alighted,alighting,alights,alit
align	aligned,aligning,aligns,aline,alined,alines,alining
aligner	aligners,aliner,aliners
alignment	alignments,alinement,alinements
aliment	alimented,alimenting,aliments
alive	aliveness
aliyah	aliyahs
alkali	alkalies,alkalis
alkalize	alkalise,alkalised,alkalises,alkalising,alkalized,alkalizes,alkalizing
alkaloid	alkaloids
alkyd	alkyds
allay	allayed,allaying,allays
allegation	allegations
allege	alleged,allegedly,alleges,alleging
allegiance	allegiances
allegorical	allegorically
allegorist	allegorists
allegory	allegories
allegretto	allegrettos
allegro	allegros
allele	alleles
allergen	allergens
allergic	allergically
allergist	allergists
allergy	allergies
alleviate	alleviated,alleviates,alleviating
alley	alleys
alleyway	alleyways
alliance	alliances
alligator	alligators
alliterate	alliterated,alliterates,alliterating
alliteration	alliterations
alliterative	alliteratively
all-nighter	all-nighters
allocate	allocated,allocates,allocating
allocation	allocations
allophone	allophones
allot	allots,allotted,allotting
allotment	allotments
allow	allowed,allowing,allows
allowable	allowably
allowance	allowances
alloy	alloyed,alloying,alloys
all-star	all-stars
allude	alluded,alludes,alluding
allure	allured,allures,alluring,alluringly
allurement	allurements
allusion	allusions
allusive	allusively,allusiveness
alluvium	alluvia,alluviums
ally	allied,allies,allying
almanac	almanack,almanacks,almanacs
almond	almonds
almoner	almoners
almshouse	almshouses
aloe	aloes
aloha	alohas
aloof	aloofly,aloofness
alp	alps
alpaca	alpacas
alpha	alphas
alphabet	alphabets
alphabetical	alphabetically
alphabetization	alphabetisation,alphabetisations,alphabetizations
alphabetize	alphabetise,alphabetised,alphabetises,alphabetising,alphabetized,alphabetizes,alphabetizing
alphabetizer	alphabetiser,alphabetisers,alphabetizers
alphanumerical	alphanumerically
alpine	alpines
also-ran	also-rans
altar	altars
altarpiece	altarpieces
alter	altered,altering,alters
alteration	alterations
altercation	altercations
alternate	alternated,alternately,alternates,alternating
alternation	alternations
alternative	alternatively,alternatives
alternator	alternators
although	altho,tho,though
altimeter	altimeters
altitude	altitudes
alto	altos
altruist	altruists
altruistic	altruistically
alum	alums
aluminum	aluminium
alumna	alumnae
alumnus	alumni
alveolar	alveolars
amalgam	amalgams
amalgamate	amalgamated,amalgamates,amalgamating
amalgamation	amalgamations
amanuensis	amanuenses
amaranth	amaranths
amaryllis	amaryllises
amass	amassed,amasses,amassing
amateur	amateurish,amateurishly,amateurishness,amateurs
amaze	amazed,amazes,amazing,amazingly
amazon	amazons
ambassador	ambassadors
ambassadorship	ambassadorships
ambassadress	ambassadresses
ambidextrous	ambidextrously
ambience	ambiance,ambiances,ambiences
ambiguity	ambiguities
ambiguous	ambiguously
ambition	ambitions
ambitious	ambitiously,ambitiousness
ambivalent	ambivalently
amble	ambled,ambles,ambling
ambler	amblers
ambulance	ambulances
ambulanceman	ambulancemen
ambulancewoman	ambulancewomen
ambulate	ambulated,ambulates,ambulating
ambulation	ambulations
ambulatory	ambulatories
ambuscade	ambuscaded,ambuscades,ambuscading
ambush	ambushed,ambushes,ambushing
ameba	amebae,amebas,amoeba,amoebae,amoebas
amebic	amoebic
ameboid	amoeboid
ameliorate	ameliorated,ameliorates,ameliorating
amenable	amenability,amenably
amend	amended,amending,amends
amendment	amendments
amenity	amenities
amerce	amerced,amerces,amercing
amercement	amercements
amethyst	amethysts
amiable	amiability,amiably
amicable	amicability,amicably
amid	amidst
amide	amides
amidship	amidships
amigo	amigos
ammeter	ammeters
ammonite	ammonites
amnesiac	amnesiacs,amnesic,amnesics
amnesty	amnestied,amnesties,amnestying
amniocentesis	amniocenteses
amnion	amnia,amnions
amok	amuck
among	amongst
amontillado	amontillados
amoral	amorally
amorous	amorously,amorousness
amorphous	amorphously,amorphousness
amortizable	amortisable
amortization	amortisation,amortisations,amortizations
amortize	amortise,amortised,amortises,amortising,amortized,amortizes,amortizing
amount	amounted,amounting,amounts
amour	amours
amp	amps
ampere	amperes
ampersand	ampersands
amphetamine	amphetamines
amphibian	amphibians
amphibious	amphibiously
amphitheater	amphitheaters,amphitheatre,amphitheatres
amphora	amphorae,amphoras
ample	ampler,amplest,amply
amplification	amplifications
amplifier	amplifiers
amplify	amplified,amplifies,amplifying
amplitude	amplitudes
ampule	ampoule,ampoules,ampul,ampules,ampuls
amputate	amputated,amputates,amputating
amputation	amputations
amputee	amputees
amulet	amulets
amuse	amused,amuses,amusing,amusingly
amusement	amusements
anachronism	anachronisms
anachronistic	anachronistically
anaconda	anacondas
anaerobe	anaerobes
anaerobic	anaerobically
anagram	anagrams
anal	anally
analgesic	analgesics
analogical	analogically
analogize	analogise,analogised,analogises,analogising,analogized,analogizes,analogizing
analogous	analogously,analogousness
analogue	analog,analogs,analogues
analogy	analogies
analysand	analysands
analysis	analyses
analyst	analysts
analytical	analytically
analyzable	analysable
analyze	analyse,analysed,analyses,analysing,analyzed,analyzes,analyzing
analyzer	analyser,analysers,analyzers
anapest	anapaest,anapaests,anapests
anapestic	anapaestic,anapaestics,anapestics
anarchic	anarchically
anarchist	anarchists
anathema	anathemas
anathematize	anathematise,anathematised,anathematises,anathematising,anathematized,anathematizes,anathematizing
anatomical	anatomically
anatomist	anatomists
anatomize	anatomise,anatomised,anatomises,anatomising,anatomized,anatomizes,anatomizing
anatomy	anatomies
ancestor	ancestors
ancestral	ancestrally
ancestress	ancestresses
ancestry	ancestries
anchor	anchored,anchoring,anchors
anchorage	anchorages
anchorite	anchorites
anchorman	anchormen
anchorperson	anchorpersons
anchorwoman	anchorwomen
anchovy	anchovies
ancient	ancienter,ancientest,anciently,ancientness,ancients
ancillary	ancillaries
andante	andantes
andiron	andirons
android	androids
anecdote	anecdota,anecdotes
anemia	anaemia
anemic	anaemic,anaemically,anemically
anemometer	anemometers
anemone	anemones
anesthesia	anaesthesia
anesthesiologist	anaesthesiologist,anaesthesiologists,anesthesiologists
anesthesiology	anaesthesiology
anesthetic	anaesthetic,anaesthetics,anesthetics
anesthetist	anaesthetist,anaesthetists,anesthetists
anesthetization	anaesthetisation,anaesthetization
anesthetize	anaesthetise,anaesthetised,anaesthetises,anaesthetising,anaesthetize,anaesthetized,anaesthetizes,anaesthetizing,anesthetized,anesthetizes,anesthetizing
aneurysm	aneurism,aneurisms,aneurysms
angel	angels
angelfish	angelfishes
angelical	angelically
anger	angered,angering,angers
angioplasty	angioplasties
angiosperm	angiosperms
angle	angled,angles,angling
angler	anglers
angleworm	angleworms
anglicism	anglicisms
anglicize	anglicise,anglicised,anglicises,anglicising,anglicized,anglicizes,anglicizing
anglophile	anglophiles
anglophobe	anglophobes
anglophone	anglophones
angora	angoras
angry	angrier,angriest,angrily
angstrom	angstroms
anguish	anguished,anguishes,anguishing
angularity	angularities
animadversion	animadversions
animadvert	animadverted,animadverting,animadverts
animal	animals
animalcule	animalcules
animate	animated,animatedly,animates,animating
animation	animations
animator	animators
animist	animists
animosity	animosities
anion	anions
ankh	ankhs
ankle	ankles
anklebone	anklebones
anklet	anklets
annalist	annalists
anneal	annealed,annealing,anneals
annelid	annelids
annex	annexe,annexed,annexes,annexing
annexation	annexations
annihilate	annihilated,annihilates,annihilating
annihilator	annihilators
anniversary	anniversaries
annotate	annotated,annotates,annotating
annotation	annotations
annotator	annotators
announce	announced,announces,announcing
announcement	announcements
announcer	announcers
annoy	annoyed,annoying,annoyingly,annoys
annoyance	annoyances
annual	annually,annuals
annualized	annualised
annuitant	annuitants
annuity	annuities
annul	annulled,annulling,annuls
annulment	annulments
annunciation	annunciations
anode	anodes
anodize	anodise,anodised,anodises,anodising,anodized,anodizes,anodizing
anodyne	anodynes
anoint	anointed,anointing,anoints
anomalous	anomalously
anomaly	anomalies
anonymous	anonymously
anorak	anoraks
anorexic	anorectic,anorectics,anorexics
answer	answered,answering,answers
answerphone	answerphones
ant	ants
antacid	antacids
antagonism	antagonisms
antagonist	antagonists
antagonistic	antagonistically
antagonize	antagonise,antagonised,antagonises,antagonising,antagonized,antagonizes,antagonizing
ante	anted,anteed,anteing,antes
anteater	anteaters
antecedent	antecedents
antechamber	antechambers
antedate	antedated,antedates,antedating
antelope	antelopes
antenna	antennae,antennas
anteroom	anterooms
anthem	anthems
anther	anthers
anthill	anthills
anthologist	anthologists
anthologize	anthologise,anthologised,anthologises,anthologising,anthologized,anthologizes,anthologizing
anthology	anthologies
anthropoid	anthropoids
anthropological	anthropologically
anthropologist	anthropologists
anthropomorphic	anthropomorphically
anti	antis
antiabortionist	antiabortionists
antibacterial	antibacterials
antibiotic	antibiotics
antibody	antibodies
antic	antics
antichrist	antichrists
anticipate	anticipated,anticipates,anticipating
anticipation	anticipations
anticlimactic	anticlimactically
anticlimax	anticlimaxes
anticline	anticlines
anticoagulant	anticoagulants
anticommunist	anticommunists
anticyclone	anticyclones
antidepressant	antidepressants
antidote	antidotes
antifascist	antifascists
antigen	antigens
antihero	antiheroes
antihistamine	antihistamines
antilogarithm	antilogarithms
antimacassar	antimacassars
antimalarial	antimalarials
antioxidant	antioxidants
antiparticle	antiparticles
antipasto	antipasti,antipastos
antipathy	antipathies
antiperspirant	antiperspirants
antiphon	antiphons
antiphonal	antiphonally,antiphonals
antipodean	antipodeans
antiquarian	antiquarians
antiquary	antiquaries
antiquate	antiquated,antiquates,antiquating
antique	antiqued,antiques,antiquing
antiquity	antiquities
antirrhinum	antirrhinums
antiseptic	antiseptically,antiseptics
antiserum	antisera,antiserums
antisocial	antisocially
antispasmodic	antispasmodics
antithesis	antitheses
antithetical	antithetically
antitoxin	antitoxins
antivenin	antivenins
antiviral	antivirals
antivivisectionist	antivivisectionists
antler	antlered,antlers
antonym	antonyms
antsy	antsier,antsiest
anus	ani,anuses
anvil	anvils
anxiety	anxieties
anxious	anxiously,anxiousness
anybody	anybodies
aorta	aortae,aortas
apartment	apartments
apathetic	apathetically
ape	aped,apelike,apes,aping,apish,apishly
aperitif	aperitifs
aperture	apertures
apex	apexes,apices
aphasic	aphasics
aphelion	aphelia,aphelions
aphid	aphids
aphorism	aphorisms
aphoristic	aphoristically
aphrodisiac	aphrodisiacs
apiarist	apiarists
apiary	apiaries
apical	apically
apocalypse	apocalypses
apocryphal	apocryphally
apogee	apogees
apolitical	apolitically
apologetic	apologetically
apologia	apologias
apologist	apologists
apologize	apologise,apologised,apologises,apologising,apologized,apologizes,apologizing
apology	apologies
apoplexy	apoplexies
apostasy	apostasies
apostate	apostates
apostatize	apostatise,apostatised,apostatises,apostatising,apostatized,apostatizes,apostatizing
apostle	apostles
apostrophe	apostrophes
apothecary	apothecaries
apothegm	apothegms
apotheosis	apotheoses
app	apps
appall	appal,appalled,appalling,appallingly,appalls,appals
appaloosa	appaloosas
apparatchik	apparatchiks
apparatus	apparatuses
apparel	appareled,appareling,apparelled,apparelling,apparels
apparent	apparently
apparition	apparitions
appeal	appealed,appealing,appealingly,appeals
appear	appeared,appearing,appears
appearance	appearances
appease	appeased,appeases,appeasing
appeasement	appeasements
appeaser	appeasers
appellant	appellants
appellation	appellations
append	appended,appending,appends
appendage	appendages
appendectomy	appendectomies
appendix	appendices,appendixes
appertain	appertained,appertaining,appertains
appetite	appetites
appetizer	appetiser,appetisers,appetizers
appetizing	appetising,appetisingly,appetizingly
applaud	applauded,applauding,applauds
applauder	applauders
apple	apples
applet	applets
appliance	appliances
applicable	applicability,applicably
applicant	applicants
application	applications
applicator	applicators
applier	appliers
applique	appliqued,appliqueed,appliqueing,appliques
apply	applied,applies,applying
appoint	appointed,appointing,appoints
appointee	appointees
appointment	appointments
apportion	apportioned,apportioning,apportions
appose	apposed,apposes,apposing
apposite	appositely,appositeness
appositive	appositives
appraisal	appraisals
appraise	appraised,appraises,appraising
appraiser	appraisers
appreciable	appreciably
appreciate	appreciated,appreciates,appreciating
appreciation	appreciations
appreciative	appreciatively
appreciator	appreciators
apprehend	apprehended,apprehending,apprehends
apprehension	apprehensions
apprehensive	apprehensively,apprehensiveness
apprentice	apprenticed,apprentices,apprenticing
apprenticeship	apprenticeships
apprise	apprised,apprises,apprising,apprize,apprized,apprizes,apprizing
approach	approached,approaches,approaching
approbation	approbations
appropriate	appropriated,appropriately,appropriateness,appropriates,appropriating
appropriation	appropriations
appropriator	appropriators
approval	approvals
approve	approved,approves,approving,approvingly
approximate	approximated,approximately,approximates,approximating
approximation	approximations
appurtenance	appurtenances
apricot	apricots
apron	aprons
apse	apses
apt	apter,aptest,aptly,aptness
aptitude	aptitudes
aqua	aquae,aquas
aquaculture	aquiculture
aqualung	aqualungs
aquamarine	aquamarines
aquanaut	aquanauts
aquaplane	aquaplaned,aquaplanes,aquaplaning
aquarium	aquaria,aquariums
aquatic	aquatically,aquatics
aquatint	aquatints
aqueduct	aqueducts
aquifer	aquifers
arabesque	arabesques
arable	arability
arachnid	arachnids
arbiter	arbiters
arbitrage	arbitraged,arbitrages,arbitraging
arbitrager	arbitragers,arbitrageur,arbitrageurs
arbitrament	arbitraments
arbitrary	arbitrarily,arbitrariness
arbitrate	arbitrated,arbitrates,arbitrating
arbitrator	arbitrators
arbor	arbors,arbour,arbours
arboretum	arboreta,arboretums
arborvitae	arborvitaes
arbutus	arbutuses
arc	arced,arcing,arcked,arcking,arcs
arcade	arcades
arch	arched,archer,arches,archest,arching,archly,archness
archaeological	archaeologically,archeological,archeologically
archaeologist	archaeologists,archeologist,archeologists
archaeology	archeology
archaic	archaically
archaism	archaisms
archaist	archaists
archangel	archangels
archbishop	archbishops
archbishopric	archbishoprics
archconservative	archconservatives
archdeacon	archdeacons
archdiocese	archdioceses
archduchess	archduchesses
archduke	archdukes
archenemy	archenemies
archer	archers
archetype	archetypes
archfiend	archfiends
archipelago	archipelagoes,archipelagos
architect	architects
architectonic	architectonics
architectural	architecturally
architecture	architectures
architrave	architraves
archive	archived,archives,archiving
archivist	archivists
archrival	archrivals
archway	archways
arctic	arctics
ardent	ardently
ardor	ardors,ardour,ardours
arduous	arduously,arduousness
are	ares
area	areas
arena	arenas
argosy	argosies
argot	argots
arguable	arguably
argue	argued,argues,arguing
arguer	arguers
argument	arguments
argumentative	argumentatively,argumentativeness
argyle	argyles
aria	arias
arid	aridly
arise	arisen,arises,arising,arose
aristocracy	aristocracies
aristocrat	aristocrats
aristocratic	aristocratically
arithmetical	arithmetically
arithmetician	arithmeticians
ark	arks
arm	armed,armful,armfuls,arming,arms,armsful
armada	armadas
armadillo	armadillos
armament	armaments
armature	armatures
armband	armbands
armchair	armchairs
armhole	armholes
armistice	armistices
armlet	armlets
armload	armloads
armor	armored,armoring,armors,armour,armoured,armouring,armours
armorer	armorers,armourer,armourers
armory	armories,armouries,armoury
armpit	armpits
armrest	armrests
army	armies
aroma	aromas
aromatherapist	aromatherapists
aromatic	aromatically,aromatics
around-the-clock	round-the-clock
arouse	aroused,arouses,arousing
arpeggio	arpeggios
